province	city	school_url/0	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Ontario	Welland	http://sfda.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-jean-vanier-welland/ecole-elementaire-catholique-saint-francois-dassise-welland/	École élémentaire catholique Saint-François-d’Assise	Élémentaires	 L3B 1K9	: 905-735-0837	58, avenue Empress
Ontario	Aurora	http://sja.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-renaissance-aurora/ecole-elementaire-catholique-saint-jean-aurora/	École élémentaire catholique Saint-Jean	Élémentaires	 L4G 3K4	: 905-727-0131	90, promenade Walton
Ontario	Mississauga	http://sjb.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-sainte-famille-mississauga/ecole-elementaire-catholique-saint-jean-baptiste-mississauga/	École élémentaire catholique Saint-Jean-Baptiste	Élémentaires	 L5L 3T4	: 905-820-7460	1910, Broad Hollow Gate
Ontario	Scarborough	http://sjdl.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-monseigneur-de-charbonnel-toronto/ecole-elementaire-catholique-saint-jean-de-lalande-scarborough/	École élémentaire catholique Saint-Jean-de-Lalande	Élémentaires	 M1S 3Y7	: 416-393-5369	500, cercle Sandhurst
Ontario	Port Colborne	http://sjpc.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-jean-vanier-welland/ecole-elementaire-catholique-saint-joseph-port-colborne/	École élémentaire catholique Saint-Joseph	Élémentaires	 L3K 2C3	: 905-835-8331	210, rue Elizabeth
Ontario	Penetanguishene	http://sl.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-nouvelle-alliance-barrie/ecole-elementaire-catholique-saint-louis-penetanguishene/	École élémentaire catholique Saint-Louis	Élémentaires	 L9M 1H4	: 705-549-3677	54, rue Dufferin
Ontario	Toronto	http://smt.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-monseigneur-de-charbonnel-toronto/ecole-elementaire-catholique-saint-michel-toronto/	École élémentaire catholique Saint-Michel	Élémentaires	 M1C 1R7	: 416-393-5421	29, chemin Meadowvale
Ontario	Milton	http://sn.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-sainte-trinite-oakville/ecole-elementaire-catholique-saint-nicolas-milton/	École élémentaire catholique Saint-Nicolas	Élémentaires	 L9T 4A3	: 905-864-3025	720, avenue Woodward
Ontario	Toronto	http://snct.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-monseigneur-de-charbonnel-toronto/ecole-elementaire-catholique-saint-noel-chabanel-toronto/	École élémentaire catholique Saint-Noël-Chabanel	Élémentaires	 M9V 1H8	: 416-393-5321	30, boulevard Thistle Down
Ontario	Cambridge	http://sncc.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-pere-rene-de-galinee-cambridge/ecole-elementaire-catholique-saint-noel-chabanel-cambridge/	École élémentaire catholique Saint-Noël-Chabanel	Élémentaires	 N3H 5P2	: 519-650-3219	640, promenade Trico
Ontario	Burlington	http://sp.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-sainte-trinite-oakville/ecole-elementaire-catholique-saint-philippe-burlington/	École élémentaire catholique Saint-Philippe	Élémentaires	 L7T 3Y3	: 905-639-6100	901, chemin Francis
Ontario	Guelph	http://srg.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-pere-rene-de-galinee-cambridge/ecole-elementaire-catholique-saint-rene-goupil-guelph/	École élémentaire catholique Saint-René-Goupil	Élémentaires	 N1G 3A1	: 519-821-7542	221, promenade Scottsdale
Ontario	Tiny	http://sc.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-nouvelle-alliance-barrie/ecole-elementaire-catholique-sainte-croix-tiny/	École élémentaire catholique Sainte-Croix	Élémentaires	 L9M 0H1	: 705-533-2610	351, chemin Lafontaine Ouest
Ontario	Brampton	http://sjda.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-sainte-famille-mississauga/ecole-elementaire-catholique-sainte-jeanne-darc-brampton/	École élémentaire catholique Sainte-Jeanne-d’Arc	Élémentaires	 L6S 4C4	: 905-453-8561	25, rue Laurelcrest
Ontario	North York	http://sm.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-monseigneur-de-charbonnel-toronto/ecole-elementaire-catholique-sainte-madeleine-north-york/	École élémentaire catholique Sainte-Madeleine	Élémentaires	 M3A 2W1	: 416-393-5312	1, promenade Ness
Ontario	Brantford	http://smbb.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-academie-catholique-mere-teresa-hamilton/ecole-elementaire-catholique-sainte-marguerite-bourgeoys-brantford/	École élémentaire catholique Sainte-Marguerite-Bourgeoys	Élémentaires	 N3T 1B8	: 519-756-4750	60, avenue Clench
Ontario	St.Catharines	http://smbsc.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-jean-vanier-welland/ecole-elementaire-catholique-sainte-marguerite-bourgeoys-st-catharines/	École élémentaire catholique Sainte-Marguerite-Bourgeoys	Élémentaires	 L2T 2V5	: 905-227-4002	12, promenade Burleigh Hill
Ontario	Markham	http://smbm.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-renaissance-aurora/ecole-elementaire-catholique-sainte-marguerite-bourgeoys-markham/	École élémentaire catholique Sainte-Marguerite-Bourgeoys	Élémentaires	 L3R 9C1	: 905-470-0815	111, boulevard John Button
Ontario	Etobicoke	http://smdy.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-saint-frere-andre-toronto/ecole-elementaire-catholique-sainte-marguerite-dyouville-etobicoke/	École élémentaire catholique Sainte-Marguerite-d’Youville	Élémentaires	 M8Y 2T3	: 416-393-5418	755, chemin Royal York
Ontario	Simcoe	http://smn.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-academie-catholique-mere-teresa-hamilton/ecole-elementaire-catholique-sainte-marie-simcoe/	École élémentaire catholique Sainte-Marie	Élémentaires	 N3Y 3Y7	: 519-426-4775	165, rue Queen Nord
Ontario	Oakville	http://smo.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-sainte-trinite-oakville/ecole-elementaire-catholique-sainte-marie-oakville/	École élémentaire catholique Sainte-Marie	Élémentaires	 L6K 2X3	: 905-845-4472	336, promenade Maurice
Ontario	Orillia	http://sdc.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-nouvelle-alliance-barrie/ecole-elementaire-catholique-samuel-de-champlain-orillia/	École élémentaire catholique Samuel-de-Champlain	Élémentaires	 L3V 5W1	: 705-326-7050	275, rue Park
Ontario	Stouffville	http://pf.csdccs.edu.on.ca	Secondaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-catholique-pape-francois-stouffville/	École catholique Pape-François	Secondaire	 L4A 3R1	: 905-642-3440	276, boulevard Sunset
Ontario	Hamilton	http://acmt.csdccs.edu.on.ca	Secondaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-academie-catholique-mere-teresa-hamilton/	École secondaire Académie catholique Mère-Teresa	Secondaire	 L8T 4Y4	: 905-389-4055	50, rue Lisgar
Ontario	Scarborough	http://escte.csdccs.edu.on.ca	Secondaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-de-toronto-est-scarborough/	École secondaire catholique de Toronto Est	Secondaire	 M1J 2C8	:	2850, avenue Eglinton Est
Ontario	Welland	http://esjv.csdccs.edu.on.ca	Secondaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-jean-vanier-welland/	École secondaire catholique Jean-Vanier	Secondaire	 L3B 5N4	: 905-714-7882	620, chemin River
Ontario	Toronto	http://esmdc.csdccs.edu.on.ca	Secondaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-monseigneur-de-charbonnel-toronto/	École secondaire catholique Monseigneur-de-Charbonnel	Secondaire	 M2M 1C8	: 416-393-5537	110, avenue Drewry
Ontario	Barrie	http://esna.csdccs.edu.on.ca	Secondaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-nouvelle-alliance-barrie/	École secondaire catholique Nouvelle-Alliance	Secondaire	 L4N 0B5	: 705-737-5260	249, rue Anne Nord
